Price,Close,High,Low,Open,Volume
Ticker,HPG,HPG,HPG,HPG,HPG
Date,,,,,
2015-01-05,3459.4,3524.7,3426.8,3459.4,2890000
2015-01-06,3492,3492,3394.1,3394.1,3640000
2015-01-07,3459.4,3524.7,3459.4,3492,3250000
2015-01-08,3459.4,3492,3426.8,3459.4,1500000
2015-01-09,3524.7,3524.7,3426.8,3459.4,5720000
2015-01-12,3524.7,3589.9,3492,3492,9720000
2015-01-13,3524.7,3524.7,3492,3492,1090000
2015-01-14,3524.7,3524.7,3426.8,3492,3210000
2015-01-15,3524.7,3557.3,3492,3492,2790000
2015-01-16,3459.4,3492,3459.4,3492,3090000
2015-01-19,3426.8,3492,3426.8,3459.4,4110000
2015-01-20,3459.4,3459.4,3394.1,3426.8,2049999
2015-01-21,3492,3492,3426.8,3459.4,8790000
2015-01-22,3459.4,3492,3426.8,3492,3620000
2015-01-23,3361.5,3459.4,3328.9,3459.4,18110000
2015-01-26,3250.5,3361.5,3250.5,3361.5,16329999
2015-01-27,3296.2,3328.9,3257.1,3296.2,15270000
2015-01-28,3296.2,3328.9,3250.5,3328.9,2630000
2015-01-29,3224.4,3296.2,3204.8,3296.2,4270000
2015-01-30,3120,3224.4,3120,3224.4,11050000
2015-02-02,3100.4,3185.3,3100.4,3120,2710000
2015-02-03,3048.2,3133,3048.2,3100.4,6380000
2015-02-04,2950.3,3080.8,2943.8,3022.1,8440000
2015-02-05,2930.7,2943.8,2872,2937.2,13600000
2015-02-06,3002.5,3048.2,2982.9,2996,2830000
2015-02-09,2924.2,3035.1,2924.2,3002.5,5150000
2015-02-10,3022.1,3035.1,2878.5,2937.2,9800000
2015-02-11,3159.2,3159.2,3022.1,3022.1,5350000
2015-02-12,3185.3,3224.4,3133,3165.7,4600000
2015-02-13,3211.4,3237.5,3165.7,3185.3,4720000
2015-02-24,3217.9,3217.9,3165.7,3217.9,5830000
2015-02-25,3159.2,3211.4,3159.2,3178.7,6820000
